"id","paper_no","type","title","url"
"1000130498","I78","github issue","github issue","https://github.com/Kavignon/developer-senzu-bean/issues/11"
"1000922608","I79","github issue","github issue","https://github.com/sametcelikbicak/enum2array/issues/32"
"1000926037","I80","github issue","github issue","https://github.com/sametcelikbicak/storage-function/issues/28"
"1021635910","I81","github issue","github issue","https://github.com/sensuikan1973/pedax/issues/198"
"1029520559","I82","github issue","github issue","https://github.com/McGill-ECSE321-Fall2021/project-group-23/issues/70"
"1030810071","I83","github issue","github issue","https://github.com/HackSoc/hacksoc.org/issues/184"
"1036931263","I84","github issue","github issue","https://github.com/Gabao-Farias/node-web-server-template/issues/2"
"1042937229","I85","github issue","github issue","https://github.com/ngwork0301/mkdocs-blog/issues/55"
"1046224432","I86","github issue","github issue","https://github.com/opensearch-project/anomaly-detection-dashboards-plugin/issues/117"
"1051140055","I87","github issue","github issue","https://github.com/McGill-ECSE321-Fall2021/project-group-23/issues/117"
"1051294174","I88","github issue","github issue","https://github.com/sensuikan1973/pedax/issues/235"
"1073711787","I89","github issue","github issue","https://github.com/web-platform-tests/wpt/issues/31939"
"1078691262","I90","github issue","github issue","https://github.com/nmfs-stock-synthesis/workflows/issues/19"
"1084229237","I91","github issue","github issue","https://github.com/NLnetLabs/krill/issues/746"
"1086594087","I92","github issue","github issue","https://github.com/CSCfi/metadata-submitter/issues/314"
"1088565615","I93","github issue","github issue","https://github.com/Greenstand/treetracker-query-api/issues/8"
"1088566082","I94","github issue","github issue","https://github.com/Greenstand/treetracker-query-api/issues/9"
"1090029637","I95","github issue","github issue","https://github.com/QMCPACK/qmcpack/issues/3691"
"1097189917","I96","github issue","github issue","https://github.com/Un1matr1x/PublicPlayground/issues/23"
"1103976219","I97","github issue","github issue","https://github.com/QMCPACK/qmcpack/issues/3732"
"1108195112","I98","github issue","github issue","https://github.com/HackSoc/hacksoc.org/issues/199"
"1108756510","I99","github issue","github issue","https://github.com/QMCPACK/qmcpack/issues/3743"
"1110631603","I100","github issue","github issue","https://github.com/Catalyst-Auditing/Audit-and-Oversight-Coordination/issues/3"
"1111967331","I101","github issue","github issue","https://github.com/pysal/libpysal/issues/452"
"1115546805","I102","github issue","github issue","https://github.com/NLnetLabs/krill/issues/764"
"1118301787","I103","github issue","github issue","https://github.com/Decentra-Network/Decentra-Network/issues/289"
"1118337774","I104","github issue","github issue","https://github.com/Decentra-Network/Decentra-Network/issues/296"
"1118346825","I105","github issue","github issue","https://github.com/Decentra-Network/Decentra-Network/issues/300"
"1118371797","I106","github issue","github issue","https://github.com/Decentra-Network/Blockchain-Lab/issues/12"
"1118463962","I107","github issue","github issue","https://github.com/Decentra-Network/Decentra-Network/issues/303"
"1119856122","I108","github issue","github issue","https://github.com/Decentra-Network/Decentra-Network/issues/317"
"1121316605","I109","github issue","github issue","https://github.com/squirrel-writer/squirrel/issues/10"
"1124550219","I110","github issue","github issue","https://github.com/squirrel-writer/squirrel/issues/14"
"1124817681","I111","github issue","github issue","https://github.com/pysal/libpysal/issues/458"
"1128111530","I112","github issue","github issue","https://github.com/dzeyelid/github-learning-playground/issues/72"
"1132726428","I113","github issue","github issue","https://github.com/dzeyelid/github-learning-playground/issues/81"
"1135814788","I114","github issue","github issue","https://github.com/Decentra-Network/Decentra-Network/issues/342"
"1137688652","I115","github issue","github issue","https://github.com/sensuikan1973/dotfiles/issues/58"
"1144733353","I116","github issue","github issue","https://github.com/Decentra-Network/Decentra-Network/issues/343"
"1146461452","I117","github issue","github issue","https://github.com/MetaFam/TheGame/issues/1159"
"1147568646","I118","github issue","github issue","https://github.com/sensuikan1973/pedax/issues/342"
"1150880759","I119","github issue","github issue","https://github.com/trimble-oss/dba-dash/issues/44"
"1151971158","I120","github issue","github issue","https://github.com/pankona/pankona.github.com/issues/85"
"1160017414","I121","github issue","github issue","https://github.com/Decentra-Network/Decentra-Network/issues/351"
